Date,Open,High,Low,Close,Volume,Currency
2019-12-31,16.51351547241211,17.10160255432129,16.384721755981445,16.8013973236084,5283327.0,USD
2020-01-01,16.808130264282227,16.98760414123535,16.71651268005371,16.92285919189453,4752930.0,USD
2020-01-02,16.926776885986328,16.947874069213867,16.168479919433594,16.370250701904297,4163466.0,USD
2020-01-03,16.37034034729004,17.436548233032227,16.29608917236328,17.280698776245117,5865678.0,USD
2020-01-04,17.283029556274414,17.559900283813477,17.21224594116211,17.490995407104492,4561616.0,USD
2020-01-05,17.492454528808594,18.069990158081055,17.485755920410156,17.781299591064453,4925028.0,USD
2020-01-06,17.782163619995117,18.71378517150879,17.782163619995117,18.70553970336914,5103992.0,USD
2020-01-07,18.702043533325195,18.95937156677246,17.071531295776367,17.30234718322754,6366099.0,USD
2020-01-08,17.222652435302734,17.56301498413086,16.75196647644043,16.92250633239746,7410832.0,USD
2020-01-09,16.918258666992188,16.927654266357422,16.224021911621094,16.472021102905273,6168702.0,USD
2020-01-10,16.466325759887695,16.896881103515625,16.17940330505371,16.53116226196289,30899899.0,USD
2020-01-11,16.54536247253418,16.972511291503906,16.045686721801758,16.787425994873047,95108860.0,USD
2020-01-12,16.791576385498047,17.391260147094727,16.670888900756836,17.01176643371582,89837602.0,USD
2020-01-13,17.013525009155273,17.124536514282227,16.021392822265625,16.215774536132812,70307180.0,USD
2020-01-14,16.23121452331543,17.867773056030273,16.157188415527344,17.750539779663086,84227532.0,USD
2020-01-15,17.7240047454834,18.775123596191406,17.41357421875,18.775123596191406,113001462.0,USD
2020-01-16,18.779834747314453,23.227537155151367,17.710412979125977,20.5455379486084,127076576.0,USD
2020-01-17,20.46647834777832,21.233896255493164,19.849430084228516,20.55996322631836,113610583.0,USD
2020-01-18,20.533199310302734,20.765106201171875,19.90869903564453,19.95770835876465,102802784.0,USD
2020-01-19,19.937898635864258,20.095165252685547,18.343544006347656,19.065689086914062,100124445.0,USD
2020-01-20,19.056182861328125,19.16520881652832,18.276159286499023,19.035842895507812,92097197.0,USD
2020-01-21,19.028343200683594,19.701082229614258,19.002368927001953,19.270357131958008,95541969.0,USD
2020-01-22,19.25010108947754,19.3006649017334,18.667146682739258,18.823284149169922,88984141.0,USD
2020-01-23,18.832828521728516,18.871822357177734,17.17111587524414,17.46961784362793,91999445.0,USD
2020-01-24,17.490121841430664,18.10191535949707,17.16211700439453,17.610633850097656,84913228.0,USD
2020-01-25,17.600553512573242,17.604694366455078,17.09883689880371,17.514175415039062,74066602.0,USD
2020-01-26,17.51153564453125,18.08275032043457,17.41650390625,18.075584411621094,89611201.0,USD
