Date,Open,High,Low,Close,Volume,Currency
2019-12-31,0.03198599815368652,0.034853000193834305,0.029999999329447746,0.032117001712322235,5854418.0,USD
2020-01-01,0.03214700147509575,0.03304700180888176,0.03189300000667572,0.0326480008661747,5041453.0,USD
2020-01-02,0.03268999978899956,0.03316299989819527,0.031369999051094055,0.031911998987197876,5253256.0,USD
2020-01-03,0.0320190005004406,0.032618001103401184,0.031296998262405396,0.03212299942970276,5138719.0,USD
2020-01-04,0.03212299942970276,0.03293300047516823,0.031690001487731934,0.03209000080823898,8757789.0,USD
2020-01-05,0.03206399828195572,0.03327000141143799,0.03190600126981735,0.03236300125718117,4489886.0,USD
2020-01-06,0.032368000596761703,0.03486400097608566,0.03198099881410599,0.03331400081515312,7007130.0,USD
2020-01-07,0.03330700099468231,0.03473600000143051,0.033222999423742294,0.033782001584768295,6022339.0,USD
2020-01-08,0.03378500044345856,0.034883998334407806,0.03304599970579147,0.033344998955726624,5280186.0,USD
2020-01-09,0.033344000577926636,0.03409700095653534,0.03263299912214279,0.03306499868631363,5280555.0,USD
2020-01-10,0.03303899988532066,0.03334299847483635,0.03172500059008598,0.03246099874377251,6260413.0,USD
2020-01-11,0.03234099969267845,0.033493999391794205,0.03232000023126602,0.03316599875688553,4282803.0,USD
2020-01-12,0.03302599862217903,0.03365999832749367,0.0328189991414547,0.03343699872493744,3587554.0,USD
2020-01-13,0.03345499932765961,0.03357899934053421,0.0325700007379055,0.033052001148462296,8788517.0,USD
2020-01-14,0.033031001687049866,0.03640900179743767,0.03204900026321411,0.03606700152158737,28580822.0,USD
2020-01-15,0.03605800122022629,0.03793200105428696,0.03384000062942505,0.03718800097703934,30115105.0,USD
2020-01-16,0.03718699887394905,0.037693001329898834,0.03383500128984451,0.036607999354600906,26614815.0,USD
2020-01-17,0.0366629995405674,0.04479299858212471,0.034818001091480255,0.04001399874687195,25359520.0,USD
2020-01-18,0.03993399813771248,0.04103599861264229,0.03615700080990791,0.03907399997115135,11819837.0,USD
2020-01-19,0.039076000452041626,0.04012899845838547,0.036242999136447906,0.03731299936771393,8808545.0,USD
2020-01-20,0.0372919999063015,0.03790999948978424,0.03592899814248085,0.037477001547813416,7296349.0,USD
2020-01-21,0.03749600052833557,0.038297999650239944,0.036959998309612274,0.03822899982333183,12403298.0,USD
2020-01-22,0.03821900114417076,0.04317900165915489,0.034988999366760254,0.04317900165915489,12816970.0,USD
2020-01-23,0.04329200088977814,0.04390000179409981,0.03776799887418747,0.03947199881076813,39933616.0,USD
2020-01-24,0.03952199965715408,0.042219001799821854,0.03696100041270256,0.039496999233961105,9063070.0,USD
2020-01-25,0.03947800025343895,0.039583999663591385,0.03797199949622154,0.03856299817562103,8014899.0,USD
2020-01-26,0.03855099901556969,0.04074700176715851,0.038339000195264816,0.03992699831724167,17525509.0,USD
2020-01-27,0.03991900011897087,0.04252700135111809,0.03751499950885773,0.04060899838805199,31891184.0,USD
2020-01-28,0.040157999843358994,0.04324899986386299,0.038777999579906464,0.04123299941420555,11852753.0,USD
2020-01-29,0.04125899821519852,0.04234100133180618,0.03951999917626381,0.041200000792741776,28332247.0,USD
2020-01-30,0.04111799970269203,0.043164998292922974,0.03952899947762489,0.0417650006711483,25269564.0,USD
2020-01-31,0.04174700006842613,0.04673599824309349,0.04022299870848656,0.0450190007686615,29446903.0,USD
2020-02-01,0.045003000646829605,0.05122800171375275,0.04362799972295761,0.049428001046180725,45484238.0,USD
2020-02-02,0.04943300038576126,0.04983200132846832,0.046316999942064285,0.04767400026321411,36653976.0,USD
2020-02-03,0.047634001821279526,0.04957899823784828,0.0466650016605854,0.04910000041127205,31309382.0,USD
2020-02-04,0.049267999827861786,0.04979600012302399,0.042653001844882965,0.04820999875664711,32471576.0,USD
2020-02-05,0.048416998237371445,0.05926299840211868,0.04574299976229668,0.05926299840211868,52706548.0,USD
2020-02-06,0.05964599922299385,0.06478799879550934,0.057277001440525055,0.05896700173616409,75110509.0,USD
2020-02-07,0.05894700065255165,0.061879999935626984,0.058591000735759735,0.059153001755476,44272616.0,USD
2020-02-08,0.059436000883579254,0.05982799828052521,0.05545299872756004,0.05906999856233597,43040937.0,USD
